CLID	CLID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
CLID	CLID	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043
843	CASP10|843	-0.090377424	-0.090377424	-0.090377424	-0.090377424	-0.290418022	-0.290418022	-0.290418022	-0.290418022	-0.090377424	-0.090377424	-0.090377424	-0.090377424
863	CBFA2T3|863	-0.606507348	-0.606507348	-0.606507348	-0.606507348	-0.606507348	-0.606507348	-0.606507348	-0.606507348	-1.066053514	-1.066053514	-1.066053514	-1.066053514
864	RUNX3|864	0.852569678	0.852569678	0.852569678	0.852569678	0.852569678	0.852569678	0.852569678	0.852569678	0.349103388	0.349103388	0.349103388	0.349103388
871	SERPINH1|871	1.472458042	1.472458042	1.472458042	1.472458042	1.472458042	1.472458042	1.472458042	1.472458042	1.70406205	1.70406205	1.70406205	1.70406205
912	CD1D|912	-0.75842424	-0.75842424	-0.75842424	-0.75842424	-1.138497022	-1.138497022	-1.138497022	-1.138497022	-0.75842424	-0.75842424	-0.75842424	-0.75842424
914	CD2|914	0.547261331	0.547261331	0.547261331	0.547261331	-0.08004543	-0.08004543	-0.08004543	-0.08004543	-0.08004543	-0.08004543	-0.08004543	-0.08004543
915	CD3D|915	0.228192495	0.228192495	0.228192495	0.228192495	-0.441630746	-0.441630746	-0.441630746	-0.441630746	-0.441630746	-0.441630746	-0.441630746	-0.441630746
916	CD3E|916	0.710535438	0.710535438	0.710535438	0.710535438	0.074819907	0.074819907	0.074819907	0.074819907	0.074819907	0.074819907	0.074819907	0.074819907
917	CD3G|917	-0.29143197	-0.29143197	-0.29143197	-0.29143197	-0.986557891	-0.986557891	-0.986557891	-0.986557891	-0.986557891	-0.986557891	-0.986557891	-0.986557891
919	CD247|919	0.113786611	0.113786611	0.113786611	0.113786611	-0.476549579	-0.476549579	-0.476549579	-0.476549579	-0.476549579	-0.476549579	-0.476549579	-0.476549579
920	CD4|920	1.11573509	1.11573509	1.11573509	1.11573509	0.756268719	0.756268719	0.756268719	0.756268719	0.756268719	0.756268719	0.756268719	0.756268719
921	CD5|921	0.236108038	0.236108038	0.236108038	0.236108038	-0.378552501	-0.378552501	-0.378552501	-0.378552501	-0.378552501	-0.378552501	-0.378552501	-0.378552501
922	CD5L|922	-1.362857961	-1.362857961	-1.362857961	-1.362857961	-1.362857961	-1.362857961	-1.362857961	-1.362857961	-1.985659543	-1.985659543	-1.985659543	-1.985659543
923	CD6|923	0.331428375	0.331428375	0.331428375	0.331428375	-0.231274957	-0.231274957	-0.231274957	-0.231274957	-0.231274957	-0.231274957	-0.231274957	-0.231274957
924	CD7|924	0.351178693	0.351178693	0.351178693	0.351178693	-0.233962092	-0.233962092	-0.233962092	-0.233962092	-0.233962092	-0.233962092	-0.233962092	-0.233962092
925	CD8A|925	0.668822035	0.668822035	0.668822035	0.668822035	0.000714614	0.000714614	0.000714614	0.000714614	0.000714614	0.000714614	0.000714614	0.000714614
926	CD8B|926	0.120449963	0.120449963	0.120449963	0.120449963	-0.577318329	-0.577318329	-0.577318329	-0.577318329	-0.577318329	-0.577318329	-0.577318329	-0.577318329
930	CD19|930	-0.342612062	-0.342612062	-0.342612062	-0.342612062	-1.151486297	-1.151486297	-1.151486297	-1.151486297	-1.151486297	-1.151486297	-1.151486297	-1.151486297
931	MS4A1|931	0.092722892	0.092722892	0.092722892	0.092722892	-0.859551212	-0.859551212	-0.859551212	-0.859551212	-0.859551212	-0.859551212	-0.859551212	-0.859551212
939	CD27|939	0.484538984	0.484538984	0.484538984	0.484538984	-0.162479468	-0.162479468	-0.162479468	-0.162479468	-0.162479468	-0.162479468	-0.162479468	-0.162479468
940	CD28|940	-0.143629613	-0.143629613	-0.143629613	-0.143629613	-0.500783663	-0.500783663	-0.500783663	-0.500783663	-0.500783663	-0.500783663	-0.500783663	-0.500783663
941	CD80|941	-0.701664122	-0.701664122	-0.701664122	-0.701664122	-1.157416508	-1.157416508	-1.157416508	-1.157416508	-1.157416508	-1.157416508	-1.157416508	-1.157416508
942	CD86|942	0.311649953	0.311649953	0.311649953	0.311649953	-0.069207434	-0.069207434	-0.069207434	-0.069207434	-0.069207434	-0.069207434	-0.069207434	-0.069207434
943	TNFRSF8|943	-0.904732385	-0.904732385	-0.904732385	-0.904732385	-1.227045213	-1.227045213	-1.227045213	-1.227045213	-0.904732385	-0.904732385	-0.904732385	-0.904732385
944	TNFSF8|944	-0.541293934	-0.541293934	-0.541293934	-0.541293934	-0.955448015	-0.955448015	-0.955448015	-0.955448015	-0.955448015	-0.955448015	-0.955448015	-0.955448015
945	CD33|945	-0.496104027	-0.496104027	-0.496104027	-0.496104027	-0.783979281	-0.783979281	-0.783979281	-0.783979281	-0.496104027	-0.496104027	-0.496104027	-0.496104027
