CLID	Name	4180	4175	4173	4142	3481	SCP 6	SCP 21	SCP 26	Parental	SCP 25	SCP 46	SCP 2	1833
"(Pcorr_Breast2Lung_LM2=LM2 like, Pcorr_Breast2Lung_Parental=Parental like)"	NaN	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480
8530	Cystatin F (leukocystatin)	-1.559	-1.587	-2.04	0.544	-0.511	0.704	1.743	2.22	2.103	0.944	0	-0.016	-0.303
10591	Chromosome 6 open reading frame 108	-1.64	-1.612	-2.129	-1.664	-0.728	0.271	0.91	0.793	1.339	0.678	-2.704	0.48	0
2052	"Epoxide hydrolase 1, microsomal (xenobiotic)"	-0.293	0	0.284	-0.091	0.028	0.591	0.565	1.647	1.835	-0.312	-1.406	-0.393	-0.278
10974	Chromosome 10 open reading frame 116	1.61	2.786	2.688	0.717	2.655	-1.298	-2.601	-0.889	0	-0.439	-3.692	0.803	-1.019
2948	Glutathione S-transferase M4	-0.319	-0.915	-1.358	-1.368	-0.381	0.154	0.9	1.439	1.239	0	-0.513	0.412	0.562
2040	Stomatin	0.34	0.762	1.039	1.133	0.651	0	-0.847	-1.658	-1.085	0.034	-0.034	-1.039	-0.72
2934	"Gelsolin (amyloidosis, Finnish type)"	0.12	0.188	1.207	-1.877	1.58	0	-0.024	1.752	2.69	-1.495	-1.877	-0.331	-2.296
725	"Complement component 4 binding protein, beta"	-2.168	-2.46	-3.41	-1.216	-0.924	0.647	0	1.033	0.142	1.272	1.472	-0.062	0.83
3371	Tenascin C (hexabrachion)	0.237	1.115	0.176	0.269	0.003	-1.617	-3.073	-0.927	-2.258	-1.056	0	0.519	-1.279
81557	"Melanoma antigen family D, 4"	1.896	2.068	2.093	0.399	2.08	-1.429	-3.499	-2.067	-1.798	0.084	0	-0.511	-2.576
3113	"Major histocompatibility complex, class II, DP alpha 1"	-0.278	-1.109	-0.72	-1.155	0.49	0.55	-0.019	3.133	2.363	0	1.008	1.341	-1.681
9201	Doublecortin and CaM kinase-like 1	1.728	1.825	1.97	1.558	0.55	-3.338	0	-0.003	-0.005	0.398	-0.014	-0.141	-2.93
79686	Chromosome 14 open reading frame 139	0.896	1.884	1.7	1.813	0.677	0.39	-0.244	-0.611	-0.241	-0.446	-0.176	-1.557	0
3123	"Major histocompatibility complex, class II, DR beta 1"	-0.437	-1.194	-0.899	-1.002	0.764	0	-0.265	1.492	1.364	0.362	0.658	1.061	-1.336
25797	Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	1.437	0.409	0.599	0.235	-0.097	-0.497	-0.798	0	-1.079	0.067	0.302	-0.017	-3.41
728695	"SPANX family, member B1"	0.757	-0.14	-0.102	2.959	1.971	-3.34	-4.258	-0.96	-1.797	2.567	1.901	0	1.048
6659	SRY (sex determining region Y)-box 4	1.299	1.734	1.562	0	2.088	-2.994	-4.953	-3.024	-0.544	-0.328	1.466	1.015	-0.694
23705	"Immunoglobulin superfamily, member 4"	0.893	1.31	0	-0.722	0.876	-0.093	-1.375	-1.084	-0.875	0.226	0.013	0.831	-0.782
